name,category,price,target,features,pain_point,stock_status,linked_inquiry_id,linked_policy_id,product_url
스트레이트 코튼 팬츠,하의,52000,데일리룩 고객,스트레이트핏|탄탄한 원단|크림/카키|S/M/L,색상 교환 문의가 많음,in_stock,INQ-1018,POL-1018,https://stylethread.invalid/products/straight-cotton-pants
썸머 반팔 티셔츠,상의,22000,20대 여성,썸머 기장|탄탄한 라운드넥|화이트/핑크|S/M,사이즈 체감 차이 문의 가능,in_stock,INQ-1019,POL-1019,https://stylethread.invalid/products/summer-half-shirt
유틸리티 백팩,가방,74000,직장인 여성,노트북 수납|생활 방수|블랙|대용량,수납 공간 설명 문의가 많음,in_stock,INQ-1020,POL-1020,https://stylethread.invalid/products/utility-backpack
새틴 블라우스,상의,58000,하객룩 고객,은은한 광택|슬리브 핏|아이보리/블루|S/M,소재 비침 문의 가능,low_stock,INQ-1021,POL-1021,https://stylethread.invalid/products/satin-blouse
코듀로이 후드 점퍼,아우터,76000,가을 의류 고객,코듀로이 소재|루즈핏|브라운/네이비|M/L,털 빠짐과 소재 특성 안내 필요,in_stock,INQ-1022,POL-1022,https://stylethread.invalid/products/corduroy-hood-jumper
로우 플리츠 원피스,원피스,89000,직장인 여성,무릎 아래 기장|허리 스트랩|블랙/와인|S/M,행사 일정 전 배송 문의 가능,in_stock,INQ-1023,POL-1023,https://stylethread.invalid/products/low-pleats-onepiece
리브드 탱크탑,상의,19000,레이어드 고객,골지 소재|슬림 데일리|블랙|S/M,속옷류 유사 카테고리 반품 제한 안내 필요,in_stock,INQ-1024,POL-1024,https://stylethread.invalid/products/ribbed-tank-top
테일러드 조거 팬츠,하의,47000,애슬레저 고객,테일러드핏|스트레치 소재|블랙/그레이|M/L,보풀 발생 문의 가능,in_stock,INQ-1025,POL-1025,https://stylethread.invalid/products/tailored-jogger-pants
슬렌더 벨트,액세서리,33000,직장인 여성,무광 메탈 버클|블랙/브라운|FREE,구멍 추가 가공 후 반품 제한 필요,in_stock,INQ-1026,POL-1026,https://stylethread.invalid/products/slender-belt
퀼팅 패딩 베스트,아우터,84000,겨울 레이어드 고객,경량 패딩|투웨이 포켓|아이보리/블랙|S/M/L,충전재 뭉침 문의 가능,in_stock,INQ-1027,POL-1027,https://stylethread.invalid/products/quilting-padded-vest
메리제인 플랫,신발,65000,20대 여성,둥근 앞코|버클 스트랩|블랙/크림|230-250,발볼과 교환 문의가 많음,low_stock,INQ-1028,POL-1028,https://stylethread.invalid/products/mary-jane-flat
시어서커 파자마 세트,홈웨어,42000,홈웨어 고객,시어서커 소재|상하의 세트|체크 패턴|M/L,착용 후 교환 제한 안내 필요,in_stock,INQ-1029,POL-1029,https://stylethread.invalid/products/seersucker-pajama-set
스키웨어 스크런치,액세서리,12000,소품 구매 고객,스키 소재|탄탄한 밴드|5컬러|세트 구매 가능,소액 주문 배송비 문의 가능,in_stock,INQ-1030,POL-1030,https://stylethread.invalid/products/skiwear-scrunchie
